HTTrack3.49-2 launched on Sat, 16 Jul 2022 19:36:21 at http://www.htmlbible.com/
(/usr/bin/httrack -iC1 -r6 http://www.htmlbible.com/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:54:05	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/swahili/B50C003.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/swahili/B50C004.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/swedish/B01C035.htm (from www.htmlbible.com/sacrednamebiblecom/swedish/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/swedish/B18C019.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/swedish/B18C019.htm (from www.htmlbible.com/sacrednamebiblecom/swedish/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv30/B18C006.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv30/B18C006.htm (from www.htmlbible.com/kjv30/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv30/B19C029.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv30/B19C029.htm (from www.htmlbible.com/kjv30/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv30/B46C005.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv30/B46C005.htm (from www.htmlbible.com/kjv30/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv30/henry/H19C102.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv30/henry/H19C102.htm (from www.htmlbible.com/kjv30/henry/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv30/henry/H20C023.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv30/henry/H20C023.htm (from www.htmlbible.com/kjv30/henry/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/kjvstrongs/B19C138.htm
